Battery Voltage,Internal Temperature,External Temperature
0.2,-16.2,7.3
0.2,-16.2,7.3
0.2,-16.2,7.3
0.2,-16.2,7.3
0.2,-16.2,7.3
0.2,-16.2,7.3
0.2,-16.2,7.3
0.2,-16.2,7.3
0.2,-16.2,7.3
0.2,-14.7,8.3
0.2,-14.7,8.3
0.2,-14.7,8.3
0.2,-14.7,8.3
0.2,-14.7,8.3
0.2,-14.7,8.3
0.2,-14.7,8.3
0.2,-14.7,8.3
0.2,-14.7,8.3
0.2,-14.7,8.5
0.2,-14.7,8.5
0.2,-14.7,8.5
0.2,-14.7,8.5
0.2,-14.7,8.5
0.2,-14.7,8.5
0.2,-14.7,8.5
0.2,-14.7,8.5
0.2,-14.7,8.5
0.2,-14.0,9.0
0.2,-13.7,9.0
0.2,-13.5,9.3
0.2,-13.2,9.3
0.2,-13.2,9.0
0.2,-13.5,9.0
